{Blxwp=f,Mulch=t} => {Class=True}
{Mulch=t,R2ar8=t} => {Class=True}
{Mulch=t,Rkxwp=f} => {Class=True}
{Mulch=t,Rimmx=f} => {Class=True}
{Mulch=t,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f} => {Class=True}
{Bknwy=f,Mulch=t} => {Class=True}
{Blxwp=f,Wkna8=t} => {Class=True}
{Wkna8=t,Wknck=f} => {Class=True}
{Wkna8=t,Wkovl=t} => {Class=True}
{R2ar8=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Wkna8=t} => {Class=True}
{Katri5=n,Wkna8=t} => {Class=True}
{Rkxwp=f,Wkna8=t} => {Class=True}
{Rimmx=f,Wkna8=t} => {Class=True}
{Wkcti=f,Wkna8=t} => {Class=True}
{Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Wkna8=t} => {Class=True}
{Mulch=f,Wkna8=t} => {Class=True}
{Rimmx=f,Skrxp=t} => {Class=True}
{Bkblk=f,Katri5=b} => {Class=True}
{Bkblk=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=f,Bkxwp=t} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxwp=t} => {Class=True}
{Reskr=t,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Rkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Bkxwp=t,Wknck=t,Wkpos=f} => {Class=True}
{Bkxwp=t,Katri5=n,Wkpos=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Skewr=f,Wknck=t} => {Class=True}
{Bkspr=t,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Wknck=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Cntxt=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=f,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkxwp=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=t,Wknck=t,Wtoeg=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Bxqsq=t,Katri5=n,Wkpos=f} => {Class=True}
{Bxqsq=t,Wkcti=f,Wkpos=f} => {Class=True}
{Bxqsq=t,Reskr=f,Wkpos=f} => {Class=True}
{Bkxcr=t,Wknck=t,Wkpos=f} => {Class=True}
{Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Wkcti=f,Wknck=t,Wkpos=f} => {Class=True}
{Blxwp=f,Cntxt=f,Wkpos=f} => {Class=True}
{Cntxt=f,Wknck=f,Wkpos=f} => {Class=True}
{Cntxt=f,Wkovl=t,Wkpos=f} => {Class=True}
{Cntxt=f,R2ar8=t,Wkpos=f} => {Class=True}
{Bxqsq=f,Cntxt=f,Wkpos=f} => {Class=True}
{Cntxt=f,Katri5=n,Wkpos=f} => {Class=True}
{Cntxt=f,Rkxwp=f,Wkpos=f} => {Class=True}
{Cntxt=f,Rimmx=f,Wkpos=f} => {Class=True}
{Cntxt=f,Wkcti=f,Wkpos=f} => {Class=True}
{Cntxt=f,Reskr=f,Wkpos=f} => {Class=True}
{Bknwy=f,Cntxt=f,Wkpos=f} => {Class=True}
{Cntxt=f,Mulch=f,Wkpos=f} => {Class=True}
{Bkspr=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bxqsq=t,Wknck=f,Wkovl=f} => {Class=True}
{Bxqsq=t,R2ar8=t,Wkovl=f} => {Class=True}
{Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wknck=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxcr=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Bkspr=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Blxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxcr=t,Skewr=f,Wknck=t} => {Class=True}
{Bkspr=t,Dwipd=g,Wknck=t} => {Class=True}
{Bkxcr=t,Dwipd=g,Wknck=t} => {Class=True}
{Blxwp=t,Dwipd=g,Wknck=t} => {Class=True}
{Dwipd=g,Rimmx=f,Wknck=t} => {Class=True}
{Bkspr=t,Bkxcr=t,Wknck=t} => {Class=True}
{Bkspr=t,Blxwp=t,Wknck=t} => {Class=True}
{Bkspr=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkspr=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=t,Wknck=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Blxwp=t,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Wknck=t} => {Class=True}
{Bkxcr=t,Cntxt=f,Wknck=t} => {Class=True}
{Bkxcr=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxcr=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxcr=t,Bxqsq=f,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxcr=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxcr=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxcr=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxcr=t,Wknck=t} => {Class=True}
{Bkxcr=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkxcr=t,Thrsk=f,Wknck=t} => {Class=True}
{R2ar8=t,Wknck=t,Wkovl=f} => {Class=True}
{Bkxbq=f,R2ar8=t,Wkovl=f} => {Class=True}
{Blxwp=t,Rkxwp=f,Wknck=t} => {Class=True}
{Blxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Cntxt=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxbq=f,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Simpl=f,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wkovl=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Skewr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wtoeg=n} => {Class=True}
{Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wknck=t} => {Class=True}
{Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=f,Blxwp=t,Rkxwp=f} => {Class=True}
{Dsopp=f,Mulch=t,Wknck=t,Wkovl=f} => {Class=True}
{Mulch=t,Thrsk=f,Wknck=t,Wkovl=f} => {Class=True}
{Mulch=t,Thrsk=f,Wkna8=f,Wkovl=f} => {Class=True}
{Dsopp=f,Katri5=n,Mulch=t,Wknck=t} => {Class=True}
{Katri5=n,Mulch=t,Thrsk=f,Wknck=t} => {Class=True}
{Dsopp=f,Mulch=t,Reskr=f,Wknck=t} => {Class=True}
{Mulch=t,Reskr=f,Thrsk=f,Wknck=t} => {Class=True}
{Dsopp=f,Mulch=t,Skrxp=f,Wknck=t} => {Class=True}
{Dsopp=f,Mulch=t,Thrsk=f,Wknck=t} => {Class=True}
{Bkona=f,Mulch=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkspr=f,Dsopp=f,Katri5=n,Mulch=t} => {Class=True}
{Bkspr=f,Katri5=n,Mulch=t,Skrxp=f} => {Class=True}
{Bkspr=f,Katri5=n,Mulch=t,Thrsk=f} => {Class=True}
{Bkspr=f,Mulch=t,Reskr=f,Thrsk=f} => {Class=True}
{Katri5=n,Mulch=t,Rkxwp=f,Wtoeg=n} => {Class=True}
{Katri5=n,Mulch=t,Skrxp=f,Wtoeg=n} => {Class=True}
{Katri5=n,Mulch=t,Thrsk=f,Wtoeg=n} => {Class=True}
{Bkona=f,Dsopp=f,Katri5=n,Mulch=t} => {Class=True}
{Dsopp=f,Katri5=n,Mulch=t,Skrxp=f} => {Class=True}
{Dsopp=f,Katri5=n,Mulch=t,Thrsk=f} => {Class=True}
{Bkona=f,Katri5=n,Mulch=t,Skrxp=f} => {Class=True}
{Bkona=f,Katri5=n,Mulch=t,Thrsk=f} => {Class=True}
{Dsopp=f,Mulch=t,Thrsk=f,Wkcti=f} => {Class=True}
{Bkona=f,Dsopp=f,Mulch=t,Reskr=f} => {Class=True}
{Dsopp=f,Mulch=t,Reskr=f,Thrsk=f} => {Class=True}
{Bkona=f,Mulch=t,Reskr=f,Thrsk=f} => {Class=True}
{Bkon8=f,Bkona=f,Blxwp=f,Wkna8=t} => {Class=True}
{Wkcti=f,Wkna8=t,Wknck=f,Wkovl=t} => {Class=True}
{Bkona=f,Bkspr=f,Wkna8=t,Wknck=f} => {Class=True}
{Bkspr=f,Mulch=f,Wkna8=t,Wknck=f} => {Class=True}
{Bkona=f,Mulch=f,Wkna8=t,Wknck=f} => {Class=True}
{Rimmx=f,Wkcti=f,Wkna8=t,Wkovl=t} => {Class=True}
{Dsopp=f,Wkcti=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bkon8=f,Wkcti=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bknwy=f,Dsopp=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bknwy=f,Bkon8=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bkona=f,Bkspr=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bkspr=f,Bxqsq=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkona=f,Bkspr=f,Wkna8=t} => {Class=True}
{Bkona=f,Bxqsq=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkxwp=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkona=f,Bkxwp=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkxwp=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkxwp=f,Dsopp=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkona=f,Bkxwp=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkon8=f,Bkxwp=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkon8=f,Katri5=n,Wkna8=t} => {Class=True}
{Bkon8=f,Bkona=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkblk=f,Rimmx=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkona=f,Reskr=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkona=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkona=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkon8=f,Bkona=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkona=f,Mulch=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Skrxp=t,Thrsk=f,Wknck=t} => {Class=True}
{Dsopp=f,Dwipd=l,Rimmx=f,Skrxp=t} => {Class=True}
{Dwipd=l,Rimmx=f,Skach=f,Skrxp=t} => {Class=True}
{Rimmx=f,Rkxwp=f,Skrxp=t,Wkpos=t} => {Class=True}
{Dsopp=f,Rimmx=f,Skrxp=t,Wkpos=t} => {Class=True}
{Bkblk=f,Bkxwp=f,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Rkxwp=f,Skrxp=t,Wkcti=f} => {Class=True}
{Reskr=f,Rimmx=f,Rkxwp=f,Skrxp=t} => {Class=True}
{Bkblk=f,Rimmx=f,Rkxwp=f,Skrxp=t} => {Class=True}
{Dsopp=f,Rimmx=f,Rkxwp=f,Skrxp=t} => {Class=True}
{Rimmx=f,Rkxwp=f,Skach=f,Skrxp=t} => {Class=True}
{Dsopp=f,Rimmx=f,Skrxp=t,Wkcti=f} => {Class=True}
{Dsopp=f,Reskr=f,Rimmx=f,Skrxp=t} => {Class=True}
{Bkblk=f,Dsopp=f,Rimmx=f,Skrxp=t} => {Class=True}
{Dsopp=f,Rimmx=f,Skach=f,Skrxp=t} => {Class=True}
{Bkxbq=f,Qxmsq=f,Rimmx=f,Rxmsq=t} => {Class=True}
{Bkblk=f,Katri5=b,Rkxwp=f,Rxmsq=f} => {Class=True}
{Bkblk=f,Katri5=b,Qxmsq=f,Rkxwp=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxwp=t,Rimmx=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxwp=t,Dsopp=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxwp=t,Skrxp=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxcr=t,Wkovl=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxcr=t,Blxwp=t} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxcr=t,Dwipd=l} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxcr=t,Rimmx=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Blxwp=t,Wkovl=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Dwipd=l,Wkovl=f} => {Class=True}
{Bkblk=t,Bknwy=f,Bkxbq=f,Wkovl=f} => {Class=True}
{Bkblk=t,Bkxbq=f,Blxwp=t,Dwipd=l} => {Class=True}
{R2ar8=t,Rimmx=f,Wkcti=t,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,R2ar8=t,Wkpos=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Katri5=n,Wkpos=f} => {Class=True}
{Bkxwp=t,Katri5=n,Simpl=f,Wkpos=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Katri5=n,Wkpos=f} => {Class=True}
{Bkxwp=t,Dwipd=l,Katri5=n,Wkpos=f} => {Class=True}
{Bkxwp=t,Katri5=n,Rkxwp=f,Wkpos=f} => {Class=True}
{Bkblk=f,Bkxwp=t,Katri5=n,Wkpos=f} => {Class=True}
{Bkxwp=t,Katri5=n,Skrxp=f,Wkpos=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=f,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=f,Wkna8=f} => {Class=True}
{Bkspr=t,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkspr=t,Bkxbq=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkspr=t,Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkspr=t,Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkspr=t,Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wknck=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkovl=f,Wkpos=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkovl=f,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Reskr=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Wkovl=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f,Wkovl=f} => {Class=True}
{Bkon8=f,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,Simpl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,R2ar8=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,Wkcti=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,Skrxp=f} => {Class=True}
