{Stlmt=t} => {Class=True}
{Bkon8=t,Bkxwp=t} => {Class=True}
{Bkon8=t,Bxqsq=t} => {Class=True}
{Bkon8=t,Blxwp=t} => {Class=True}
{Bkon8=t,Bkxbq=f} => {Class=True}
{Bxqsq=t,Mulch=t} => {Class=True}
{Bkxcr=t,Mulch=t} => {Class=True}
{Blxwp=f,Mulch=t} => {Class=True}
{Mulch=t,R2ar8=t} => {Class=True}
{Mulch=t,Rkxwp=f} => {Class=True}
{Mulch=t,Rimmx=f} => {Class=True}
{Mulch=t,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f} => {Class=True}
{Bknwy=f,Mulch=t} => {Class=True}
{Dwipd=g,Wkna8=t} => {Class=True}
{Bkxcr=t,Wkna8=t} => {Class=True}
{Simpl=t,Wkna8=t} => {Class=True}
{Blxwp=f,Wkna8=t} => {Class=True}
{Wkna8=t,Wknck=f} => {Class=True}
{Wkna8=t,Wkovl=t} => {Class=True}
{R2ar8=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Wkna8=t} => {Class=True}
{Katri5=n,Wkna8=t} => {Class=True}
{Rkxwp=f,Wkna8=t} => {Class=True}
{Rimmx=f,Wkna8=t} => {Class=True}
{Wkcti=f,Wkna8=t} => {Class=True}
{Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Wkna8=t} => {Class=True}
{Mulch=f,Wkna8=t} => {Class=True}
{Rimmx=f,Skrxp=t} => {Class=True}
{Bxqsq=t,Katri5=b} => {Class=True}
{Bkblk=f,Katri5=b} => {Class=True}
{Bkblk=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=f,Bkxwp=t} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Bkon8=t,Bkxbq=f,Skrxp=f} => {Class=True}
{Bkon8=t,Bkxbq=f,Wkna8=f} => {Class=True}
{Rimmx=f,Thrsk=t,Wknck=t} => {Class=True}
{Katri5=n,Mulch=t,Wkpos=f} => {Class=True}
{Mulch=t,Rkxwp=f,Skewr=f} => {Class=True}
{Mulch=t,Rimmx=f,Skewr=f} => {Class=True}
{Blxwp=f,Mulch=t,Wkovl=f} => {Class=True}
{Mulch=t,R2ar8=t,Wkovl=f} => {Class=True}
{Mulch=t,Rkxwp=f,Wkovl=f} => {Class=True}
{Mulch=t,Rimmx=f,Wkovl=f} => {Class=True}
{Mulch=t,Simpl=t,Wknck=t} => {Class=True}
{Bkxbq=t,Mulch=t,Wknck=t} => {Class=True}
{Blxwp=f,Mulch=t,Wknck=t} => {Class=True}
{Mulch=t,R2ar8=t,Wknck=t} => {Class=True}
{Mulch=t,Skewr=t,Wknck=t} => {Class=True}
{Mulch=t,Wknck=t,Wtoeg=n} => {Class=True}
{Mulch=t,Rkxwp=f,Wknck=t} => {Class=True}
{Mulch=t,Rimmx=f,Wknck=t} => {Class=True}
{Mulch=t,Skrxp=f,Wknck=t} => {Class=True}
{Mulch=t,Thrsk=f,Wknck=t} => {Class=True}
{Blxwp=f,Mulch=t,Simpl=t} => {Class=True}
{Bkspr=f,Mulch=t,Simpl=t} => {Class=True}
{Katri5=n,Mulch=t,Simpl=t} => {Class=True}
{Mulch=t,Rkxwp=f,Simpl=t} => {Class=True}
{Mulch=t,Rimmx=f,Simpl=t} => {Class=True}
{Mulch=t,Simpl=t,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f,Simpl=t} => {Class=True}
{Mulch=t,Simpl=t,Thrsk=f} => {Class=True}
{Cntxt=t,Katri5=n,Mulch=t} => {Class=True}
{Bkxbq=t,Blxwp=f,Mulch=t} => {Class=True}
{Bkxbq=t,Mulch=t,Skewr=t} => {Class=True}
{Bkxbq=t,Katri5=n,Mulch=t} => {Class=True}
{Bkxbq=t,Mulch=t,Rkxwp=f} => {Class=True}
{Bkxbq=t,Mulch=t,Rimmx=f} => {Class=True}
{Bkxbq=t,Mulch=t,Reskr=f} => {Class=True}
{Bkona=f,Bkxbq=t,Mulch=t} => {Class=True}
{Bkxbq=t,Mulch=t,Thrsk=f} => {Class=True}
{Bkxbq=f,Mulch=t,R2ar8=t} => {Class=True}
{Bkxbq=f,Mulch=t,Wkcti=f} => {Class=True}
{Blxwp=f,Cntxt=f,Mulch=t} => {Class=True}
{Cntxt=f,Mulch=t,R2ar8=t} => {Class=True}
{Cntxt=f,Mulch=t,Rkxwp=f} => {Class=True}
{Cntxt=f,Mulch=t,Rimmx=f} => {Class=True}
{Blxwp=f,Mulch=t,Wkpos=t} => {Class=True}
{Blxwp=f,Katri5=n,Mulch=t} => {Class=True}
{Blxwp=f,Mulch=t,Wkcti=f} => {Class=True}
{Blxwp=f,Mulch=t,Reskr=f} => {Class=True}
{Bkspr=f,Katri5=n,Mulch=t} => {Class=True}
{Bkspr=f,Mulch=t,Wkcti=f} => {Class=True}
{Bkspr=f,Mulch=t,Reskr=f} => {Class=True}
{Mulch=t,R2ar8=t,Wkpos=t} => {Class=True}
{Mulch=t,R2ar8=t,Wtoeg=n} => {Class=True}
{Katri5=n,Mulch=t,R2ar8=t} => {Class=True}
{Mulch=t,R2ar8=t,Rimmx=f} => {Class=True}
{Mulch=t,R2ar8=t,Wkcti=f} => {Class=True}
{Mulch=t,R2ar8=t,Reskr=f} => {Class=True}
{Katri5=n,Mulch=t,Skewr=t} => {Class=True}
{Mulch=t,Skewr=t,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f,Skewr=t} => {Class=True}
{Mulch=t,Rkxwp=f,Wkpos=t} => {Class=True}
{Mulch=t,Rimmx=f,Wkpos=t} => {Class=True}
{Katri5=n,Mulch=t,Wtoeg=n} => {Class=True}
{Mulch=t,Wkcti=f,Wtoeg=n} => {Class=True}
{Mulch=t,Reskr=f,Wtoeg=n} => {Class=True}
{Katri5=n,Mulch=t,Rkxwp=f} => {Class=True}
{Katri5=n,Mulch=t,Rimmx=f} => {Class=True}
{Dsopp=f,Katri5=n,Mulch=t} => {Class=True}
{Katri5=n,Mulch=t,Skrxp=f} => {Class=True}
{Katri5=n,Mulch=t,Thrsk=f} => {Class=True}
{Mulch=t,Rkxwp=f,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f,Rkxwp=f} => {Class=True}
{Mulch=t,Rimmx=f,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f,Rimmx=f} => {Class=True}
{Dsopp=f,Mulch=t,Wkcti=f} => {Class=True}
{Mulch=t,Thrsk=f,Wkcti=f} => {Class=True}
{Dsopp=f,Mulch=t,Reskr=f} => {Class=True}
{Bkona=f,Mulch=t,Reskr=f} => {Class=True}
{Mulch=t,Reskr=f,Thrsk=f} => {Class=True}
{Reskr=t,Rimmx=f,Wkna8=t} => {Class=True}
{Bkxcr=t,Simpl=f,Wkna8=t} => {Class=True}
{Bkxcr=t,Wkna8=t,Wknck=f} => {Class=True}
{Bkxcr=t,Bxqsq=f,Wkna8=t} => {Class=True}
{Bkxcr=t,Bkxwp=f,Wkna8=t} => {Class=True}
{Bkxcr=t,Rimmx=f,Wkna8=t} => {Class=True}
{Bkxcr=t,Reskr=f,Wkna8=t} => {Class=True}
{Bkona=f,Bkxcr=t,Wkna8=t} => {Class=True}
{Bkon8=f,Bkxcr=t,Wkna8=t} => {Class=True}
{Blxwp=t,Wkna8=t,Wkovl=t} => {Class=True}
{Blxwp=t,Rimmx=f,Wkna8=t} => {Class=True}
{Blxwp=t,Wkcti=f,Wkna8=t} => {Class=True}
{Bknwy=f,Blxwp=t,Wkna8=t} => {Class=True}
{Blxwp=f,Simpl=t,Wkna8=t} => {Class=True}
{Simpl=t,Wkna8=t,Wknck=f} => {Class=True}
{Simpl=t,Wkna8=t,Wkovl=t} => {Class=True}
{Bkxcr=f,Simpl=t,Wkna8=t} => {Class=True}
{Bkspr=f,Simpl=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Simpl=t,Wkna8=t} => {Class=True}
{Bkxwp=f,Simpl=t,Wkna8=t} => {Class=True}
{Rkxwp=f,Simpl=t,Wkna8=t} => {Class=True}
{Rimmx=f,Simpl=t,Wkna8=t} => {Class=True}
{Simpl=t,Wkcti=f,Wkna8=t} => {Class=True}
{Reskr=f,Simpl=t,Wkna8=t} => {Class=True}
{Dsopp=f,Simpl=t,Wkna8=t} => {Class=True}
{Bknwy=f,Simpl=t,Wkna8=t} => {Class=True}
{Mulch=f,Simpl=t,Wkna8=t} => {Class=True}
{Bkon8=f,Simpl=t,Wkna8=t} => {Class=True}
{R2ar8=t,Simpl=f,Wkna8=t} => {Class=True}
{Blxwp=f,Wkna8=t,Wknck=f} => {Class=True}
{Blxwp=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Blxwp=f,Reskr=f,Wkna8=t} => {Class=True}
{Bkona=f,Blxwp=f,Wkna8=t} => {Class=True}
{Bkon8=f,Blxwp=f,Wkna8=t} => {Class=True}
{Wkna8=t,Wknck=f,Wkovl=t} => {Class=True}
{Bkspr=f,Wkna8=t,Wknck=f} => {Class=True}
{R2ar8=t,Wkna8=t,Wknck=f} => {Class=True}
{Katri5=n,Wkna8=t,Wknck=f} => {Class=True}
{Rkxwp=f,Wkna8=t,Wknck=f} => {Class=True}
{Wkcti=f,Wkna8=t,Wknck=f} => {Class=True}
{Reskr=f,Wkna8=t,Wknck=f} => {Class=True}
{Bkona=f,Wkna8=t,Wknck=f} => {Class=True}
{Bknwy=f,Wkna8=t,Wknck=f} => {Class=True}
{Mulch=f,Wkna8=t,Wknck=f} => {Class=True}
{Bkxcr=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bxqsq=f,Wkna8=t,Wkovl=t} => {Class=True}
{Rimmx=f,Wkna8=t,Wkovl=t} => {Class=True}
{Wkcti=f,Wkna8=t,Wkovl=t} => {Class=True}
{Reskr=f,Wkna8=t,Wkovl=t} => {Class=True}
{Dsopp=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bknwy=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bkon8=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bkxcr=f,R2ar8=t,Wkna8=t} => {Class=True}
{Bkxcr=f,Katri5=n,Wkna8=t} => {Class=True}
{Bkxcr=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkxcr=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkxcr=f,Wkna8=t} => {Class=True}
{Bkspr=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bkona=f,Bkspr=f,Wkna8=t} => {Class=True}
{Bxqsq=f,R2ar8=t,Wkna8=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wkna8=t} => {Class=True}
{R2ar8=t,Reskr=f,Wkna8=t} => {Class=True}
{Dsopp=f,R2ar8=t,Wkna8=t} => {Class=True}
{Bkon8=f,R2ar8=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Katri5=n,Wkna8=t} => {Class=True}
{Bxqsq=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Reskr=f,Wkna8=t} => {Class=True}
{Bkona=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkxwp=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkxwp=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkxwp=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkxwp=f,Wkna8=t} => {Class=True}
{Katri5=n,Wkcti=f,Wkna8=t} => {Class=True}
{Katri5=n,Reskr=f,Wkna8=t} => {Class=True}
{Dsopp=f,Katri5=n,Wkna8=t} => {Class=True}
{Bknwy=f,Katri5=n,Wkna8=t} => {Class=True}
{Bkon8=f,Katri5=n,Wkna8=t} => {Class=True}
{Dsopp=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkona=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkon8=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Rimmx=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkblk=f,Rimmx=f,Wkna8=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wkna8=t} => {Class=True}
{Reskr=f,Wkcti=f,Wkna8=t} => {Class=True}
{Dsopp=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkona=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkon8=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkona=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Dsopp=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkona=f,Wkna8=t} => {Class=True}
{Bkona=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkona=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkon8=f,Wkna8=t} => {Class=True}
{Bkon8=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkona=t,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wtoeg=t} => {Class=True}
{R2ar8=f,Rimmx=f,Skrxp=t} => {Class=True}
{Bkxcr=t,Skrxp=t,Wknck=t} => {Class=True}
{Bkxcr=t,Skrxp=t,Wkpos=t} => {Class=True}
{Bkxcr=t,Rkxwp=f,Skrxp=t} => {Class=True}
{Bkxcr=t,Rimmx=f,Skrxp=t} => {Class=True}
{Bkxcr=t,Dsopp=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wkovl=f} => {Class=True}
{R2ar8=t,Skrxp=t,Wknck=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wknck=t} => {Class=True}
{Blxwp=t,Rimmx=f,Skrxp=t} => {Class=True}
{Blxwp=t,Skrxp=t,Wkcti=f} => {Class=True}
{Blxwp=t,Reskr=f,Skrxp=t} => {Class=True}
{Bkxbq=t,R2ar8=t,Skrxp=t} => {Class=True}
{Bkxbq=t,Rimmx=f,Skrxp=t} => {Class=True}
{Cntxt=f,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Simpl=f,Skrxp=t} => {Class=True}
{Bkspr=f,Rimmx=f,Skrxp=t} => {Class=True}
{Dwipd=l,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skewr=t,Skrxp=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wkpos=t} => {Class=True}
{Rimmx=f,Rkxwp=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wkcti=f} => {Class=True}
{Reskr=f,Rimmx=f,Skrxp=t} => {Class=True}
{Bkblk=f,Rimmx=f,Skrxp=t} => {Class=True}
{Dsopp=f,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skach=f,Skrxp=t} => {Class=True}
{Bkxbq=f,Rxmsq=t,Wkpos=f} => {Class=True}
{Rxmsq=t,Wkovl=t,Wkpos=f} => {Class=True}
{R2ar8=t,Rxmsq=t,Wkpos=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Rxmsq=t} => {Class=True}
{Bkxbq=f,Qxmsq=f,Rxmsq=t} => {Class=True}
{Bkblk=f,Katri5=b,Wkpos=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Katri5=b} => {Class=True}
{Bkblk=f,Bkxbq=f,Katri5=b} => {Class=True}
{Bkblk=f,Blxwp=f,Katri5=b} => {Class=True}
{Bkblk=f,Bkxcr=f,Katri5=b} => {Class=True}
{Bkblk=f,Bkspr=f,Katri5=b} => {Class=True}
{Bkblk=f,Dwipd=l,Katri5=b} => {Class=True}
{Bkblk=f,Katri5=b,Rkxwp=f} => {Class=True}
{Bkblk=f,Katri5=b,Rxmsq=f} => {Class=True}
{Bkblk=f,Katri5=b,Qxmsq=f} => {Class=True}
{Bknwy=t,Bxqsq=t,Wknck=f} => {Class=True}
{Bkona=t,Bkxbq=f,Bkxwp=t} => {Class=True}
{Bkona=t,Rimmx=f,Wkpos=f} => {Class=True}
{Bkona=t,Bxqsq=t,Simpl=t} => {Class=True}
{Bkona=t,Bkxbq=f,Bxqsq=t} => {Class=True}
{Bkona=t,Dwipd=g,Wknck=t} => {Class=True}
{Bkona=t,Bkxbq=f,Bkxcr=t} => {Class=True}
{Bkona=t,Simpl=t,Wknck=t} => {Class=True}
{Bkona=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkona=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkona=t,Bkxbq=f,Simpl=t} => {Class=True}
{Dsopp=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkblk=t,Bkxwp=t,Wknck=t} => {Class=True}
{Bkblk=t,Bkxbq=f,Bkxwp=t} => {Class=True}
{Bkblk=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Bkblk=t,Bkspr=t,Bxqsq=t} => {Class=True}
{Bkblk=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkblk=t,Bxqsq=t,Wknck=f} => {Class=True}
{Bkblk=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkblk=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkblk=t,Bxqsq=t,Reskr=f} => {Class=True}
{Bkblk=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkblk=t,Bkon8=f,Bxqsq=t} => {Class=True}
{Bkblk=t,Bkxcr=t,Wknck=t} => {Class=True}
{Bkblk=t,Blxwp=t,Wknck=t} => {Class=True}
{Bkblk=t,Simpl=t,Wknck=t} => {Class=True}
{Bkblk=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkblk=t,Katri5=n,Wknck=t} => {Class=True}
{Bkblk=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkblk=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkblk=t,Bkona=f,Wknck=t} => {Class=True}
{Katri5=w,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Reskr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Reskr=t} => {Class=True}
{Reskr=t,Rimmx=f,Wknck=t} => {Class=True}
{Cntxt=f,Reskr=t,Wkovl=t} => {Class=True}
{Cntxt=f,R2ar8=t,Reskr=t} => {Class=True}
{Cntxt=f,Katri5=n,Reskr=t} => {Class=True}
{Cntxt=f,Reskr=t,Rimmx=f} => {Class=True}
{Bkxwp=t,Rkxwp=t,Wknck=t} => {Class=True}
{Dwipd=g,Rkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=t,Rkxwp=t,Wknck=t} => {Class=True}
{Rimmx=f,Rkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Wknck=t,Wtoeg=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Bkxwp=t,Wknck=t,Wkpos=f} => {Class=True}
{Bkxwp=t,Katri5=n,Wkpos=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxwp=t,Skewr=f,Wknck=t} => {Class=True}
{Bkspr=t,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Wknck=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Cntxt=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=f,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=t,Wknck=t,Wtoeg=t} => {Class=True}
{Bkspr=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkpos=f} => {Class=True}
{Bxqsq=t,Wknck=f,Wkpos=f} => {Class=True}
{Bxqsq=t,Katri5=n,Wkpos=f} => {Class=True}
{Bxqsq=t,Wkcti=f,Wkpos=f} => {Class=True}
{Bxqsq=t,Reskr=f,Wkpos=f} => {Class=True}
{Cntxt=f,Dwipd=g,Wkpos=f} => {Class=True}
{Bkxcr=t,Wknck=t,Wkpos=f} => {Class=True}
{Bkxcr=t,Cntxt=f,Wkpos=f} => {Class=True}
{Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Wkcti=f,Wknck=t,Wkpos=f} => {Class=True}
{Cntxt=f,Simpl=t,Wkpos=f} => {Class=True}
{Blxwp=f,Cntxt=f,Wkpos=f} => {Class=True}
{Cntxt=f,Wknck=f,Wkpos=f} => {Class=True}
{Cntxt=f,Wkovl=t,Wkpos=f} => {Class=True}
{Cntxt=f,R2ar8=t,Wkpos=f} => {Class=True}
{Bxqsq=f,Cntxt=f,Wkpos=f} => {Class=True}
{Cntxt=f,Katri5=n,Wkpos=f} => {Class=True}
{Cntxt=f,Rkxwp=f,Wkpos=f} => {Class=True}
{Cntxt=f,Rimmx=f,Wkpos=f} => {Class=True}
{Cntxt=f,Wkcti=f,Wkpos=f} => {Class=True}
{Cntxt=f,Reskr=f,Wkpos=f} => {Class=True}
{Bknwy=f,Cntxt=f,Wkpos=f} => {Class=True}
{Cntxt=f,Mulch=f,Wkpos=f} => {Class=True}
{Bxqsq=t,Dwipd=g,Wkovl=f} => {Class=True}
{Bkspr=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bxqsq=t,Wknck=f,Wkovl=f} => {Class=True}
{Bxqsq=t,R2ar8=t,Wkovl=f} => {Class=True}
{Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wknck=t} => {Class=True}
