{Bkxcr=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bxqsq=t,Wknck=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wknck=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkspr=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Blxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Dwipd=g,Rimmx=f,Wknck=t} => {Class=True}
{Bkspr=t,Bkxcr=t,Wknck=t} => {Class=True}
{Bkspr=t,Blxwp=t,Wknck=t} => {Class=True}
{Bkspr=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkspr=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=t,Wknck=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Blxwp=t,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Wknck=t} => {Class=True}
{Bkxcr=t,Cntxt=f,Wknck=t} => {Class=True}
{Bkxcr=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxcr=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxcr=t,Bxqsq=f,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxcr=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxcr=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxcr=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxcr=t,Wknck=t} => {Class=True}
{Bkxcr=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkxcr=t,Thrsk=f,Wknck=t} => {Class=True}
{Bkxbq=f,R2ar8=t,Wkovl=f} => {Class=True}
{Blxwp=t,Rkxwp=f,Wknck=t} => {Class=True}
{Blxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Cntxt=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxbq=f,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Simpl=f,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wkovl=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Skewr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wtoeg=n} => {Class=True}
{Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wknck=t} => {Class=True}
{Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Reskr=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Wkovl=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f,Wkovl=f} => {Class=True}
{Bkon8=f,Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t,Skrxp=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t,Simpl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Simpl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Reskr=f,Simpl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Simpl=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f,Skrxp=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Katri5=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Dwipd=l} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l,Skrxp=f} => {Class=True}
{Bkon8=f,Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Katri5=n,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Skewr=t} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Wtoeg=n} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Katri5=n,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Skrxp=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f,Wkna8=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Katri5=n,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Rimmx=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Dsopp=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Skrxp=f,Wkovl=f} => {Class=True}
{Bkxwp=t,R2ar8=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Simpl=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Wkna8=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Skrxp=f,Wknck=t} => {Class=True}
{Bkxwp=t,R2ar8=t,Reskr=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxwp=t,R2ar8=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Dwipd=l,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Dwipd=l,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Wkna8=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Dwipd=l,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Wknck=t,Wkpos=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wknck=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Katri5=n,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Reskr=f,Wknck=t} => {Class=True}
{Bkblk=f,Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Skrxp=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Wkcti=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkcti=f,Wkna8=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Reskr=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Wkna8=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Skrxp=f,Wknck=t} => {Class=True}
{Bkblk=f,Bkona=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Skrxp=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkona=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Skrxp=f,Wkna8=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Wkna8=f,Wknck=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t,Wtoeg=t} => {Class=True}
{Rimmx=f,Simpl=f,Wknck=t,Wkpos=f} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Dsopp=f,Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Bknwy=f,Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Qxmsq=f,Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Reskd=f,Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Bkxbq=f,Katri5=n,Wkcti=f,Wkpos=f} => {Class=True}
{Bkspr=t,Bkxbq=f,Bkxcr=t,Bxqsq=t} => {Class=True}
{Bkspr=t,Bkxcr=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkcti=f,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dsopp=f,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Skrxp=f,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t,R2ar8=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t,Wkcti=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t,Dsopp=f} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t,Rxmsq=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t,Qxmsq=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Katri5=n} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Reskr=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkon8=f,Bkxbq=f,Bkxcr=t,Bxqsq=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,R2ar8=t,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dwipd=l,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f,Skewr=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f,Wkcti=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Reskr=f,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dsopp=f,Simpl=f} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f,Wkna8=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Simpl=f,Skrxp=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Qxmsq=f,Simpl=f} => {Class=True}
{Bkspr=f,Bkxcr=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Bkspr=f,Bkxcr=t,Bxqsq=t} => {Class=True}
{Bkspr=f,Bkxcr=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dwipd=l,R2ar8=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,R2ar8=t,Skewr=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,R2ar8=t,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dwipd=l,Katri5=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dwipd=l,Wkcti=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dwipd=l,Reskr=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dsopp=f,Dwipd=l} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dwipd=l,Wkna8=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Katri5=n,Skewr=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Skewr=t,Wkcti=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Reskr=f,Skewr=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dsopp=f,Skewr=t} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Skewr=t,Wkna8=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Qxmsq=f,Skewr=t} => {Class=True}
{Bkxcr=t,Bxqsq=t,Katri5=n,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkcti=f,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Reskr=f,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Dsopp=f,Wtoeg=n} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkna8=f,Wtoeg=n} => {Class=True}
{Bkxcr=t,Bxqsq=t,Katri5=n,Skrxp=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkcti=f,Wkna8=f} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Reskr=f,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Wkovl=f} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkna8=f,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Skrxp=f,Wkovl=f} => {Class=True}
{Bkon8=f,Blxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Skewr=t,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Wkovl=f,Wtoeg=n} => {Class=True}
{Bkxbq=f,Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Wkcti=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Reskr=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Dsopp=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bkxbq=f,Bxqsq=t,Thrsk=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Skewr=t,Wkcti=f,Wkovl=f} => {Class=True}
{Bkona=f,Bxqsq=t,Skewr=t,Wkovl=f} => {Class=True}
{Bxqsq=t,Skewr=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Wkcti=f,Wkovl=f,Wtoeg=n} => {Class=True}
{Bkona=f,Bxqsq=t,Wkovl=f,Wtoeg=n} => {Class=True}
{Bxqsq=t,Wkna8=f,Wkovl=f,Wtoeg=n} => {Class=True}
{Bxqsq=t,Dsopp=f,Katri5=n,Wkovl=f} => {Class=True}
{Bknwy=f,Bxqsq=t,Katri5=n,Wkovl=f} => {Class=True}
{Bxqsq=t,Katri5=n,Skrxp=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Katri5=n,Thrsk=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Dsopp=f,Wkcti=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Wkcti=f,Wkna8=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Thrsk=f,Wkcti=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Dsopp=f,Reskr=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Reskr=f,Wkna8=f,Wkovl=f} => {Class=True}
{Bxqsq=t,Reskr=f,Thrsk=f,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f,Wknck=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Wknck=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkna8=f,Wknck=t} => {Class=True}
{Bxqsq=t,Katri5=n,Skewr=t,Wknck=t} => {Class=True}
{Bxqsq=t,Katri5=n,Wknck=t,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Cntxt=t,Skrxp=f} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxbq=f,Blxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,R2ar8=t,Simpl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Simpl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Reskr=f,Simpl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Simpl=f} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Simpl=f,Skrxp=f} => {Class=True}
{Bkspr=f,Blxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkspr=f,Blxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkspr=f,Blxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,R2ar8=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,R2ar8=t,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,R2ar8=t,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Katri5=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Dwipd=l} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dwipd=l,Skrxp=f} => {Class=True}
{Bkon8=f,Blxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Blxwp=t,Bxqsq=t,Katri5=n,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Skewr=t,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Skewr=t} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Blxwp=t,Bxqsq=t,Skewr=t,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Skewr=t,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Wtoeg=n} => {Class=True}
{Bkona=f,Blxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkna8=f,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Skrxp=f,Wtoeg=n} => {Class=True}
{Blxwp=t,Bxqsq=t,Katri5=n,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Skrxp=f} => {Class=True}
