@relation australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{False,True}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@outputs Class
@data
1,2675.0,1125.0,2,14.0,8.0,125.0,1,0,0.0,0,2,0.0,5299.0,True
1,6333.0,54.0,2,8.0,4.0,585.0,1,1,3.0,1,2,180.0,1.0,False
1,2375.0,415.0,1,8.0,4.0,4.0,0,1,2.0,0,2,128.0,7.0,False
0,2075.0,1025.0,2,11.0,4.0,71.0,1,1,2.0,1,2,49.0,1.0,True
0,245.0,175.0,1,8.0,4.0,165.0,0,0,0.0,0,2,132.0,1.0,False
1,1617.0,4.0,2,8.0,4.0,4.0,0,0,0.0,0,2,0.0,1.0,True
0,295.0,2.0,1,10.0,8.0,2.0,0,0,0.0,0,2,256.0,18.0,False
0,5283.0,15.0,2,8.0,4.0,55.0,1,1,14.0,0,2,0.0,2201.0,True
1,3233.0,35.0,2,4.0,4.0,5.0,0,0,0.0,1,2,232.0,1.0,False
1,2108.0,4125.0,1,3.0,8.0,4.0,0,0,0.0,0,2,140.0,101.0,False
1,2817.0,125.0,1,4.0,4.0,85.0,0,0,0.0,0,2,216.0,2101.0,False
1,19.0,175.0,1,8.0,4.0,2335.0,0,0,0.0,1,2,112.0,7.0,False
1,2758.0,325.0,1,11.0,8.0,5085.0,0,1,2.0,1,2,369.0,2.0,False
1,2783.0,15.0,2,9.0,4.0,2.0,1,1,11.0,1,2,434.0,36.0,True
1,40.0,65.0,2,6.0,5.0,35.0,1,1,1.0,0,2,0.0,501.0,True
0,3733.0,25.0,2,3.0,8.0,21.0,0,0,0.0,0,2,260.0,247.0,False
1,425.0,4915.0,1,9.0,4.0,3165.0,1,0,0.0,1,2,52.0,1443.0,True
1,5675.0,1225.0,2,7.0,4.0,125.0,1,1,4.0,1,2,200.0,1.0,True
1,4317.0,5.0,2,3.0,5.0,225.0,0,0,0.0,1,2,141.0,1.0,False
0,2375.0,71.0,2,9.0,4.0,25.0,0,1,1.0,1,2,240.0,5.0,False
1,185.0,2.0,2,3.0,4.0,15.0,1,1,2.0,0,2,120.0,301.0,True
0,4083.0,35.0,2,3.0,5.0,5.0,0,0,0.0,0,1,1160.0,1.0,False
0,245.0,5.0,2,11.0,8.0,15.0,1,0,0.0,0,2,280.0,825.0,True
1,42.0,979.0,2,14.0,8.0,796.0,1,1,8.0,0,2,0.0,1.0,True
0,195.0,165.0,2,11.0,4.0,4.0,0,0,0.0,1,2,380.0,1.0,False
1,215.0,115.0,2,3.0,4.0,5.0,1,0,0.0,1,2,100.0,69.0,False
1,3125.0,2835.0,2,1.0,1.0,0.0,0,1,5.0,0,2,176.0,147.0,False
1,2725.0,1585.0,2,13.0,8.0,1835.0,1,1,12.0,1,2,583.0,714.0,True
1,4875.0,26335.0,1,1.0,1.0,0.0,1,0,0.0,1,2,0.0,1.0,False
0,3042.0,1375.0,2,9.0,8.0,4.0,0,1,3.0,0,2,0.0,34.0,False
1,2942.0,125.0,2,9.0,4.0,175.0,0,0,0.0,0,2,200.0,1.0,False
1,2825.0,504.0,1,8.0,5.0,15.0,1,1,8.0,1,2,144.0,8.0,True
1,4025.0,215.0,2,10.0,9.0,20.0,1,1,11.0,0,2,0.0,1201.0,True
1,365.0,425.0,2,11.0,4.0,35.0,0,0,0.0,0,2,454.0,51.0,False
1,2558.0,335.0,2,4.0,8.0,35.0,0,0,0.0,1,2,340.0,1.0,False
1,2983.0,35.0,2,8.0,4.0,165.0,0,0,0.0,0,2,216.0,1.0,False
1,2308.0,0.0,2,4.0,4.0,1.0,0,1,11.0,0,1,0.0,1.0,False
0,3217.0,146.0,2,9.0,4.0,1085.0,1,1,16.0,0,2,120.0,2080.0,True
1,2517.0,35.0,2,13.0,4.0,625.0,1,1,7.0,0,2,0.0,7060.0,True
0,3517.0,375.0,2,1.0,1.0,0.0,0,1,6.0,0,2,0.0,201.0,False
0,1858.0,10.0,2,2.0,4.0,415.0,0,0,0.0,0,2,80.0,43.0,False
1,3992.0,5.0,2,3.0,5.0,21.0,0,0,0.0,0,2,550.0,1.0,False
1,2342.0,1.0,2,8.0,4.0,5.0,0,0,0.0,1,1,280.0,1.0,False
1,3758.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,True
0,2475.0,13665.0,2,11.0,8.0,15.0,0,0,0.0,0,2,280.0,2.0,False
0,47.0,13.0,2,3.0,5.0,5165.0,1,1,9.0,1,2,0.0,1.0,True
1,3417.0,525.0,2,9.0,4.0,85.0,0,0,0.0,1,2,290.0,7.0,True
1,2217.0,585.0,1,1.0,1.0,0.0,0,0,0.0,0,2,100.0,1.0,False
1,2775.0,129.0,2,4.0,8.0,25.0,0,0,0.0,1,1,140.0,1.0,False
1,4275.0,4085.0,2,6.0,4.0,4.0,0,0,0.0,0,2,108.0,101.0,False
1,2867.0,145.0,2,2.0,4.0,125.0,0,0,0.0,0,2,0.0,287.0,False
1,3625.0,5.0,2,8.0,5.0,25.0,1,1,6.0,0,2,0.0,368.0,True
0,1817.0,10.0,1,11.0,8.0,165.0,0,0,0.0,0,2,340.0,1.0,False
1,2125.0,15.0,2,9.0,4.0,15.0,0,0,0.0,0,2,150.0,9.0,True
0,3892.0,1665.0,2,6.0,4.0,25.0,0,0,0.0,0,2,0.0,391.0,False
1,3183.0,4.0,1,7.0,4.0,4.0,0,0,0.0,0,2,0.0,1.0,False
0,1733.0,95.0,2,6.0,4.0,175.0,0,1,10.0,1,2,0.0,11.0,False
0,2042.0,835.0,2,11.0,4.0,1585.0,1,1,1.0,0,2,0.0,1.0,True
0,3908.0,4.0,2,8.0,4.0,3.0,0,0,0.0,0,2,480.0,1.0,False
1,3867.0,21.0,2,4.0,4.0,85.0,1,0,0.0,1,2,280.0,1.0,True
1,2767.0,1375.0,2,9.0,4.0,575.0,1,0,0.0,1,2,487.0,501.0,True
1,2775.0,585.0,1,13.0,4.0,25.0,1,1,2.0,0,2,260.0,501.0,True
1,19.0,0.0,1,1.0,1.0,0.0,0,1,4.0,0,2,45.0,2.0,False
0,25.0,875.0,2,14.0,8.0,104.0,1,0,0.0,1,2,160.0,5861.0,True
1,2767.0,2.0,2,14.0,8.0,1.0,1,1,4.0,0,2,140.0,7545.0,True
1,2225.0,9.0,2,6.0,4.0,85.0,0,0,0.0,0,2,0.0,1.0,False
0,4983.0,13585.0,2,4.0,8.0,85.0,1,0,0.0,1,2,0.0,1.0,True
1,3233.0,25.0,2,8.0,4.0,125.0,0,0,0.0,1,2,280.0,1.0,False
1,3825.0,10125.0,1,4.0,4.0,125.0,0,0,0.0,0,2,160.0,1.0,False
1,4733.0,65.0,2,8.0,4.0,1.0,0,0,0.0,1,2,0.0,229.0,False
1,2783.0,4.0,1,3.0,8.0,575.0,1,1,2.0,1,2,75.0,1.0,False
0,3575.0,915.0,2,6.0,4.0,75.0,1,1,4.0,0,2,0.0,1584.0,True
1,3358.0,25.0,2,3.0,5.0,4.0,0,0,0.0,1,1,420.0,1.0,False
1,3408.0,8.0,1,7.0,5.0,4.0,1,1,1.0,1,2,280.0,2001.0,True
0,2075.0,10335.0,2,13.0,8.0,335.0,1,1,1.0,1,2,80.0,51.0,True
1,3317.0,1.0,2,14.0,4.0,75.0,1,1,7.0,1,2,340.0,4072.0,True
1,2275.0,11.0,2,11.0,4.0,25.0,1,1,7.0,1,2,100.0,810.0,True
1,4875.0,85.0,2,8.0,8.0,125.0,1,1,9.0,0,2,181.0,1656.0,True
1,4058.0,5.0,2,8.0,4.0,5.0,1,1,7.0,0,2,0.0,3066.0,True
1,2067.0,835.0,1,8.0,4.0,2.0,0,0,0.0,1,1,240.0,1.0,False
0,3875.0,15.0,2,1.0,1.0,0.0,0,0,0.0,0,2,76.0,1.0,False
0,5708.0,195.0,2,8.0,4.0,55.0,1,1,7.0,0,2,0.0,3001.0,True
0,3125.0,375.0,2,13.0,8.0,625.0,1,1,9.0,1,2,181.0,1.0,True
1,22.0,79.0,2,9.0,4.0,29.0,0,1,1.0,0,2,420.0,284.0,False
0,5833.0,10.0,2,11.0,4.0,4.0,1,1,14.0,0,2,0.0,1603.0,True
1,2892.0,375.0,2,8.0,4.0,29.0,0,0,0.0,0,2,220.0,141.0,False
0,46.0,4.0,2,5.0,3.0,0.0,1,0,0.0,0,2,100.0,961.0,True
1,21.0,3.0,1,2.0,4.0,1085.0,1,1,8.0,1,2,160.0,2.0,True
0,2475.0,125.0,2,6.0,4.0,15.0,1,1,12.0,1,2,120.0,568.0,True
0,2083.0,5.0,1,10.0,2.0,1.0,0,0,0.0,0,2,260.0,1.0,False
1,2458.0,135.0,1,1.0,1.0,0.0,0,0,0.0,0,2,184.0,1.0,False
0,265.0,271.0,1,8.0,4.0,85.0,0,0,0.0,0,1,80.0,1.0,False
1,4092.0,835.0,2,1.0,1.0,0.0,1,0,0.0,0,2,130.0,2.0,False
0,3833.0,4415.0,2,8.0,4.0,125.0,0,0,0.0,0,2,160.0,1.0,False
1,1958.0,585.0,2,1.0,1.0,0.0,0,1,3.0,0,2,350.0,770.0,False
1,3925.0,95.0,2,7.0,4.0,65.0,1,1,14.0,0,2,240.0,4608.0,True
1,2575.0,5.0,2,8.0,4.0,146.0,1,1,5.0,1,2,312.0,1.0,True
0,4608.0,3.0,2,8.0,4.0,2375.0,1,1,8.0,1,2,396.0,4160.0,True
1,1967.0,10.0,1,4.0,8.0,835.0,1,0,0.0,1,2,140.0,1.0,False
0,2225.0,125.0,1,1.0,1.0,325.0,0,0,0.0,0,2,280.0,1.0,False
1,1883.0,354.0,1,1.0,1.0,0.0,0,0,0.0,1,2,180.0,2.0,False
1,6408.0,20.0,2,14.0,8.0,175.0,1,1,9.0,1,2,0.0,1001.0,True
0,165.0,125.0,2,11.0,4.0,25.0,0,1,1.0,0,2,108.0,99.0,False
0,6867.0,15.0,2,10.0,9.0,0.0,1,1,14.0,0,2,0.0,3377.0,True
1,7675.0,2229.0,2,10.0,9.0,1275.0,1,1,1.0,1,2,0.0,110.0,True
0,1592.0,2875.0,2,11.0,4.0,85.0,0,0,0.0,0,2,120.0,1.0,False
1,3483.0,4.0,2,2.0,5.0,125.0,1,0,0.0,1,2,184.0,1.0,False
0,4742.0,8.0,2,10.0,5.0,65.0,1,1,6.0,0,2,375.0,51101.0,True
1,2317.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,True
1,4517.0,15.0,2,8.0,4.0,25.0,1,0,0.0,1,2,140.0,1.0,False
1,1517.0,7.0,2,10.0,4.0,1.0,0,0,0.0,0,2,600.0,1.0,False
1,1883.0,415.0,1,8.0,4.0,165.0,0,1,1.0,0,2,200.0,2.0,False
1,525.0,65.0,2,4.0,4.0,629.0,1,1,15.0,0,2,0.0,11203.0,True
1,1917.0,0.0,1,7.0,5.0,0.0,0,0,0.0,1,1,500.0,2.0,True
1,18.0,165.0,2,11.0,7.0,21.0,0,0,0.0,0,2,200.0,41.0,True
1,375.0,835.0,2,10.0,4.0,4.0,0,0,0.0,0,2,120.0,6.0,False
1,2267.0,1585.0,1,9.0,4.0,3085.0,1,1,6.0,0,2,80.0,1.0,True
1,4783.0,4165.0,2,14.0,5.0,85.0,0,0,0.0,1,2,520.0,1.0,False
1,3408.0,25.0,2,8.0,4.0,1.0,0,0,0.0,0,2,460.0,17.0,False
0,3308.0,1625.0,2,2.0,4.0,54.0,0,0,0.0,1,2,0.0,1.0,False
1,4308.0,375.0,1,8.0,4.0,375.0,1,1,8.0,1,2,300.0,163.0,True
1,345.0,404.0,1,3.0,5.0,85.0,1,1,7.0,1,2,195.0,1.0,True
1,4275.0,3.0,2,3.0,5.0,1.0,1,0,0.0,0,2,0.0,201.0,False
1,1825.0,165.0,2,2.0,4.0,25.0,0,0,0.0,1,1,280.0,1.0,False
1,2308.0,25.0,2,1.0,1.0,85.0,0,0,0.0,1,2,100.0,4209.0,False
0,225.0,846.0,1,14.0,4.0,246.0,0,0,0.0,0,2,164.0,1.0,True
1,1792.0,205.0,2,6.0,4.0,4.0,0,0,0.0,0,2,280.0,751.0,False
1,1842.0,10415.0,1,6.0,4.0,125.0,1,0,0.0,0,2,120.0,376.0,False
0,2767.0,15.0,2,7.0,4.0,2.0,1,0,0.0,0,1,368.0,1.0,False
0,1892.0,925.0,1,8.0,4.0,1.0,1,1,4.0,1,2,80.0,501.0,True
1,2267.0,75.0,2,3.0,4.0,1585.0,0,1,1.0,1,2,400.0,10.0,False
1,625.0,1275.0,1,8.0,8.0,5.0,1,0,0.0,0,2,112.0,1.0,False
0,235.0,9.0,2,11.0,4.0,85.0,1,1,5.0,1,2,120.0,1.0,True
1,3525.0,3165.0,2,14.0,8.0,375.0,1,0,0.0,1,2,680.0,1.0,False
0,5683.0,425.0,1,1.0,1.0,5.0,0,0,0.0,1,2,0.0,5.0,False
0,5333.0,165.0,2,1.0,1.0,0.0,0,0,0.0,1,1,62.0,28.0,False
1,4117.0,404.0,2,13.0,8.0,7.0,1,1,8.0,0,2,320.0,1.0,True
1,4217.0,504.0,2,11.0,8.0,1275.0,1,0,0.0,1,2,92.0,1.0,True
1,4117.0,125.0,1,9.0,4.0,25.0,0,0,0.0,0,2,0.0,196.0,False
0,3375.0,75.0,2,4.0,5.0,1.0,1,1,3.0,1,2,212.0,1.0,False
1,2567.0,125.0,2,13.0,4.0,121.0,1,1,67.0,1,2,140.0,259.0,True
1,2433.0,6625.0,1,2.0,4.0,55.0,1,0,0.0,1,1,100.0,1.0,True
1,2333.0,11625.0,1,9.0,4.0,835.0,1,0,0.0,1,2,160.0,301.0,True
1,3067.0,25.0,2,13.0,8.0,225.0,0,0,0.0,1,1,340.0,1.0,False
1,3717.0,4.0,2,8.0,5.0,5.0,1,0,0.0,1,1,280.0,1.0,False
1,2625.0,154.0,2,9.0,4.0,125.0,0,0,0.0,0,2,100.0,1.0,False
0,2975.0,665.0,2,9.0,4.0,25.0,0,0,0.0,1,2,300.0,1.0,False
0,23.0,1835.0,2,5.0,3.0,0.0,0,1,1.0,0,2,200.0,54.0,False
1,1725.0,3.0,2,4.0,4.0,4.0,0,0,0.0,1,2,160.0,41.0,False
1,2925.0,1479.0,2,6.0,4.0,504.0,1,1,5.0,1,2,168.0,1.0,True
0,2858.0,354.0,2,3.0,5.0,5.0,1,0,0.0,1,2,171.0,1.0,False
1,3458.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,False
1,2342.0,585.0,2,8.0,8.0,85.0,1,0,0.0,0,2,180.0,1.0,False
1,25.0,1125.0,2,8.0,4.0,25.0,1,1,17.0,0,2,200.0,1209.0,True
0,1875.0,75.0,2,11.0,4.0,271.0,1,1,5.0,0,2,184.0,26727.0,True
1,1708.0,25.0,2,11.0,4.0,335.0,0,1,4.0,0,2,160.0,9.0,False
0,1608.0,335.0,2,1.0,1.0,0.0,0,1,1.0,0,2,160.0,127.0,False
1,3292.0,25.0,2,6.0,4.0,175.0,0,1,2.0,1,2,720.0,1.0,False
0,2033.0,10.0,2,8.0,8.0,1.0,1,1,4.0,0,2,50.0,1466.0,True
0,2175.0,175.0,1,5.0,3.0,0.0,0,0,0.0,0,2,160.0,1.0,False
1,3317.0,104.0,2,12.0,8.0,65.0,1,0,0.0,1,2,164.0,31286.0,True
0,2533.0,2085.0,2,8.0,8.0,275.0,1,0,0.0,1,2,360.0,2.0,False
0,2475.0,3.0,2,11.0,8.0,1835.0,1,1,19.0,0,2,0.0,501.0,True
1,3083.0,0.0,2,9.0,4.0,125.0,1,1,1.0,0,2,202.0,1.0,True
1,2075.0,5085.0,1,5.0,4.0,29.0,0,0,0.0,0,2,140.0,185.0,False
0,4033.0,8125.0,1,4.0,4.0,165.0,0,1,2.0,0,2,184.0,19.0,False
1,2942.0,125.0,2,8.0,8.0,25.0,0,1,2.0,1,2,400.0,109.0,False
1,4092.0,5.0,1,7.0,4.0,5.0,0,0,0.0,1,2,130.0,1.0,False
0,295.0,46.0,2,4.0,4.0,54.0,1,1,4.0,0,2,380.0,501.0,True
1,5442.0,5.0,1,4.0,8.0,396.0,1,0,0.0,0,2,180.0,315.0,True
1,34.0,55.0,1,8.0,4.0,15.0,0,0,0.0,1,2,60.0,1.0,False
1,25.0,12.0,2,4.0,4.0,225.0,1,1,2.0,1,2,120.0,6.0,False
0,2658.0,254.0,1,1.0,1.0,0.0,0,0,0.0,1,2,180.0,61.0,False
0,3308.0,4625.0,2,11.0,8.0,1625.0,1,1,2.0,0,2,0.0,1.0,True
1,3367.0,2165.0,2,8.0,4.0,15.0,0,0,0.0,0,3,120.0,1.0,False
1,3617.0,55.0,2,3.0,5.0,5.0,0,0,0.0,0,2,210.0,688.0,False
1,195.0,29.0,2,4.0,4.0,29.0,0,0,0.0,0,2,280.0,365.0,False
1,2417.0,875.0,2,11.0,4.0,4625.0,1,1,2.0,1,2,520.0,2001.0,True
0,305.0,65.0,2,8.0,5.0,4.0,1,1,7.0,1,2,0.0,3066.0,True
1,20.0,7.0,2,8.0,4.0,5.0,0,0,0.0,0,2,0.0,1.0,False
1,2533.0,58.0,2,8.0,4.0,29.0,1,1,7.0,1,2,96.0,5125.0,True
1,2958.0,475.0,2,7.0,4.0,2.0,0,1,1.0,1,2,460.0,69.0,False
1,4317.0,225.0,2,3.0,5.0,75.0,1,0,0.0,0,2,560.0,1.0,False
1,2875.0,1165.0,2,4.0,4.0,5.0,1,0,0.0,0,1,280.0,1.0,False
1,3157.0,3.0,1,3.0,5.0,7.0,0,0,0.0,0,2,0.0,2.0,False
1,2025.0,996.0,2,10.0,2.0,0.0,1,0,0.0,0,2,0.0,1.0,True
1,45.0,85.0,2,13.0,8.0,14.0,1,1,1.0,1,2,88.0,2001.0,True
0,2283.0,229.0,2,11.0,8.0,229.0,1,1,7.0,1,2,140.0,2385.0,True
0,2067.0,3.0,2,11.0,4.0,165.0,1,1,3.0,0,2,100.0,7.0,True
1,2783.0,15.0,2,9.0,4.0,225.0,0,1,1.0,1,2,100.0,4.0,False
1,4092.0,225.0,1,14.0,8.0,10.0,1,0,0.0,1,2,176.0,1.0,False
1,5642.0,28.0,1,8.0,4.0,285.0,1,1,40.0,0,2,0.0,16.0,True
0,6408.0,165.0,2,1.0,1.0,0.0,1,1,1.0,0,2,232.0,101.0,True
0,2242.0,1125.0,1,14.0,8.0,75.0,1,1,4.0,0,2,0.0,322.0,True
0,2433.0,25.0,1,3.0,5.0,45.0,0,0,0.0,0,2,200.0,457.0,False
0,695.0,6.0,2,1.0,1.0,0.0,0,0,0.0,0,1,0.0,1.0,False
1,3558.0,75.0,2,4.0,4.0,15.0,0,0,0.0,1,2,231.0,1.0,False
1,4833.0,12.0,2,7.0,4.0,16.0,1,0,0.0,0,1,110.0,1.0,True
0,2808.0,15.0,1,10.0,9.0,0.0,1,0,0.0,0,2,0.0,13213.0,True
1,3517.0,25.0,2,4.0,4.0,45.0,1,1,7.0,0,2,150.0,1271.0,True
1,495.0,7585.0,2,3.0,5.0,7585.0,1,1,15.0,1,2,0.0,5001.0,True
1,8025.0,55.0,2,8.0,4.0,54.0,1,0,0.0,0,2,0.0,341.0,False
1,2925.0,13.0,2,2.0,8.0,5.0,0,0,0.0,0,2,228.0,1.0,False
0,1692.0,5.0,2,3.0,4.0,165.0,0,1,6.0,1,2,240.0,36.0,False
0,16.0,165.0,2,6.0,4.0,1.0,0,1,2.0,1,2,320.0,2.0,False
1,6008.0,145.0,2,1.0,1.0,18.0,1,1,15.0,1,2,0.0,1001.0,True
1,28.0,2.0,2,4.0,8.0,4165.0,1,1,2.0,1,2,181.0,1.0,True
1,415.0,154.0,2,3.0,5.0,35.0,0,0,0.0,0,2,216.0,1.0,True
1,2408.0,9.0,2,6.0,4.0,25.0,0,0,0.0,1,2,0.0,1.0,False
1,245.0,13335.0,1,6.0,4.0,4.0,0,0,0.0,1,2,120.0,476.0,False
1,3475.0,15.0,2,12.0,7.0,5375.0,1,1,9.0,1,2,0.0,135.0,True
1,3367.0,125.0,2,9.0,4.0,1165.0,0,0,0.0,0,2,120.0,1.0,False
0,4083.0,10.0,2,11.0,8.0,175.0,1,0,0.0,0,2,29.0,838.0,True
1,2042.0,1835.0,2,8.0,4.0,225.0,1,1,1.0,0,2,100.0,151.0,True
1,375.0,1125.0,1,2.0,4.0,15.0,0,0,0.0,1,2,431.0,1.0,True
1,485.0,425.0,2,7.0,4.0,125.0,1,0,0.0,1,2,225.0,1.0,True
1,23.0,75.0,2,7.0,4.0,5.0,0,0,0.0,1,1,320.0,1.0,False
1,35.0,3375.0,2,8.0,8.0,829.0,0,0,0.0,1,2,0.0,1.0,False
1,1633.0,275.0,2,6.0,4.0,665.0,0,1,1.0,0,2,80.0,22.0,False
1,2267.0,105.0,2,11.0,8.0,1335.0,1,0,0.0,0,2,100.0,1.0,True
0,2175.0,1175.0,2,8.0,4.0,25.0,0,0,0.0,1,2,180.0,1.0,False
0,2508.0,254.0,1,6.0,4.0,25.0,1,0,0.0,1,2,370.0,1.0,True
1,3633.0,2125.0,1,9.0,4.0,85.0,1,1,1.0,0,2,50.0,1188.0,True
0,2858.0,375.0,2,8.0,4.0,25.0,0,1,1.0,1,2,40.0,155.0,False
1,2217.0,12125.0,2,8.0,4.0,3335.0,0,1,2.0,1,2,180.0,174.0,False
1,3417.0,154.0,2,13.0,4.0,154.0,1,1,1.0,1,2,520.0,50001.0,True
1,35.0,25.0,2,3.0,4.0,1.0,0,0,0.0,1,2,210.0,1.0,False
1,2858.0,3625.0,2,6.0,4.0,25.0,0,0,0.0,1,2,100.0,1.0,False
0,1917.0,5415.0,2,3.0,8.0,29.0,0,0,0.0,0,2,80.0,485.0,False
1,2325.0,1.0,2,8.0,4.0,835.0,1,0,0.0,0,1,300.0,1.0,True
1,165.0,125.0,2,8.0,4.0,165.0,0,0,0.0,0,2,132.0,1.0,False
0,2008.0,125.0,2,11.0,4.0,1.0,0,1,1.0,0,2,240.0,769.0,True
1,2233.0,11.0,2,9.0,4.0,2.0,1,1,1.0,0,2,80.0,279.0,True
1,34.0,5085.0,1,3.0,5.0,1085.0,0,0,0.0,1,2,480.0,1.0,False
0,5708.0,335.0,2,3.0,5.0,1.0,1,0,0.0,1,2,252.0,2198.0,False
1,1625.0,835.0,2,7.0,4.0,85.0,1,0,0.0,0,1,200.0,1.0,False
1,3283.0,25.0,2,13.0,8.0,275.0,1,1,6.0,0,2,160.0,2073.0,True
1,4825.0,25085.0,2,9.0,4.0,175.0,1,1,3.0,0,2,120.0,15.0,True
1,3417.0,275.0,2,3.0,5.0,25.0,0,0,0.0,1,2,232.0,201.0,False
1,1833.0,121.0,1,10.0,2.0,0.0,0,0,0.0,0,2,100.0,1.0,False
1,4425.0,5.0,2,7.0,4.0,1075.0,1,0,0.0,0,1,400.0,1.0,False
